,Start,End,Start_seconds,Start_samples,End_seconds,End_samples
389,0:19:19.20,0:19:21.95,1159.2,51120720,1161.95,51241995
397,0:19:49.90,0:19:50.75,1189.9,52474590,1190.75,52512075
399,0:19:55.00,0:19:57.80,1195.0,52699500,1197.8,52822980
401,0:20:00.25,0:20:06.40,1200.25,52931025,1206.4,53202240
403,0:20:10.25,0:20:14.35,1210.25,53372025,1214.35,53552834
407,0:20:21.40,0:20:24.10,1221.4,53863740,1224.1,53982809
411,0:20:36.20,0:20:42.40,1236.2,54516420,1242.4,54789840
415,0:20:47.70,0:20:49.90,1247.7,55023570,1249.9,55120590
417,0:20:52.90,0:21:03.20,1252.9,55252890,1263.2,55707120
421,0:21:05.30,0:21:08.05,1265.3,55799730,1268.05,55921005
423,0:21:11.00,0:21:15.25,1271.0,56051100,1275.25,56238525
426,0:21:16.85,0:21:23.40,1276.85,56309084,1283.4,56597940
429,0:21:24.35,0:21:30.60,1284.35,56639834,1290.6,56915459
433,0:21:32.20,0:21:36.90,1292.2,56986020,1296.9,57193290
435,0:21:38.00,0:21:43.00,1298.0,57241800,1303.0,57462300
437,0:21:43.40,0:21:47.20,1303.4,57479940,1307.2,57647520
439,0:21:48.55,0:21:56.75,1308.55,57707055,1316.75,58068675
442,0:22:01.35,0:22:13.15,1321.35,58271534,1333.15,58791915
446,0:22:21.75,0:22:31.70,1341.75,59171175,1351.7,59609970
450,0:22:40.45,0:22:42.55,1360.45,59995845,1362.55,60088455
454,0:22:52.10,0:22:56.95,1372.1,60509609,1376.95,60723495
458,0:23:02.60,0:23:08.95,1382.6,60972659,1388.95,61252695
463,0:23:17.50,0:23:21.80,1397.5,61629750,1401.8,61819380
465,0:23:24.75,0:23:25.65,1404.75,61949475,1405.65,61989165
467,0:23:28.55,0:23:29.30,1408.55,62117055,1409.3,62150130
470,0:23:35.15,0:23:37.55,1415.15,62408115,1417.55,62513955
473,0:23:39.75,0:23:45.10,1419.75,62610975,1425.1,62846909
475,0:23:48.95,0:23:50.90,1428.95,63016695,1430.9,63102690
477,0:23:54.25,0:23:57.15,1434.25,63250425,1437.15,63378315
484,0:24:15.60,0:24:16.45,1455.6,64191959,1456.45,64229445
488,0:24:23.65,0:24:25.40,1463.65,64546965,1465.4,64624140
491,0:24:29.10,0:24:57.25,1469.1,64787309,1497.25,66028725
503,0:24:58.75,0:25:02.55,1498.75,66094875,1502.55,66262455
506,0:25:06.60,0:25:11.85,1506.6,66441059,1511.85,66672584
508,0:25:16.70,0:25:18.45,1516.7,66886470,1518.45,66963645
510,0:25:19.85,0:25:21.80,1519.85,67025384,1521.8,67111380
512,0:25:26.20,0:25:59.55,1526.2,67305420,1559.55,68776155
522,0:26:00.85,0:26:16.00,1560.85,68833485,1576.0,69501600
526,0:26:18.05,0:26:20.95,1578.05,69592005,1580.95,69719895
528,0:26:24.20,0:26:27.50,1584.2,69863220,1587.5,70008750
530,0:26:28.60,0:26:30.20,1588.6,70057260,1590.2,70127820
532,0:26:36.30,0:26:38.25,1596.3,70396830,1598.25,70482825
534,0:26:43.90,0:26:48.15,1603.9,70731990,1608.15,70919415
537,0:26:52.80,0:26:57.95,1612.8,71124480,1617.95,71351595
539,0:27:00.90,0:27:08.90,1620.9,71481690,1628.9,71834490
543,0:27:10.55,0:27:19.00,1630.55,71907255,1639.0,72279900
546,0:27:21.65,0:27:24.60,1641.65,72396765,1644.6,72526860
548,0:27:26.50,0:27:27.45,1646.5,72610650,1647.45,72652545
551,0:27:34.10,0:27:36.10,1654.1,72945810,1656.1,73034010
553,0:27:39.55,0:28:15.85,1659.55,73186155,1695.85,74786985
564,0:28:17.10,0:28:19.55,1697.1,74842110,1699.55,74950155
566,0:28:20.95,0:28:23.55,1700.95,75011895,1703.55,75126555
568,0:28:25.30,0:28:26.60,1705.3,75203730,1706.6,75261060
570,0:28:30.60,0:28:34.95,1710.6,75437460,1714.95,75629295
572,0:28:37.90,0:28:43.45,1717.9,75759390,1723.45,76004145
575,0:28:44.85,0:28:53.05,1724.85,76065885,1733.05,76427505
